timestamp,source,Longitude,Latitude,statecode,lganame,lgacode,wardname,wardcode,settlementname,Primary settlements,settlementid,globalid,Status,GDB Health Facility Name,health facility_longitude,health facility_latitude,Population under 1 year,Population under 5 years,Distance from Health facility to Settlement
20170508113505+01:00,eHA_Polio,9.75406389,11.83398097,BA,Itas/Gadau,5010,Abdallawa,BA1004,Abdallawa,,3658441,8d1e6daf-6030-4e60-baea-0817104098cb,RI Settlements existing in the GBD,Abdallawa Dispensary,9.752457,11.83352,7,45,1
,JSI RI,9.7663146,11.8272345,BA,Itas/Gadau,5010,Abdallawa,BA1004,Andalewo,,,,collected by JSI,Abdallawa Dispensary,9.752457,11.83352,,,
20171014171640+01:00,Bauchi RI,9.76575,11.827886,BA,Itas/Gadau,5010,Abdallawa,BA1004,Andalewo ,,3783202,8c407467-b23c-4474-81ee-364cd4e707a6,RI Settlements collected from the field,Abdallawa Dispensary,9.752457,11.83352,57,353,2
,JSI RI,9.785256667,11.83149,BA,Itas/Gadau,5010,Abdallawa,BA1004,Bausa,,,,collected by JSI,Abdallawa Dispensary,9.752457,11.83352,,,
20170508113506+01:00,eHA_Polio,9.74650894,11.85455724,BA,Itas/Gadau,5010,Abdallawa,BA1004,Bimawa Gabas,,3808441,dacf32b0-becf-4df7-a91b-06712a823459,RI Settlements existing in the GBD,Abdallawa Dispensary,9.752457,11.83352,30,185,9
20170508113506+01:00,eHA_Polio,9.73965484,11.85337193,BA,Itas/Gadau,5010,Abdallawa,BA1004,Bimawa Yamma,,3741581,f1a65288-e85e-4ee3-87eb-21c129f31051,RI Settlements existing in the GBD,Abdallawa Dispensary,9.752457,11.83352,30,185,8
20170508113505+01:00,eHA_Polio,9.7763536,11.8407812,BA,Itas/Gadau,5010,Abdallawa,BA1004,Dungu,,3858921,a5e69569-876d-41a4-a666-423afe7bcbfa,RI Settlements existing in the GBD,Abdallawa Dispensary,9.752457,11.83352,7,44,10
20170508113505+01:00,eHA_Polio,9.77204912,11.83925438,BA,Itas/Gadau,5010,Abdallawa,BA1004,Dungu Fulani,,3741641,c26ff4a9-afff-4a99-a6f2-0e7152840ae1,RI Settlements existing in the GBD,Abdallawa Dispensary,9.752457,11.83352,0,3,11
20170508113506+01:00,eHA_Polio,9.75153833,11.84568628,BA,Itas/Gadau,5010,Abdallawa,BA1004,Fango,,3908933,e9d2076b-e62d-425f-a007-a815d5a921d7,RI Settlements existing in the GBD,Abdallawa Dispensary,9.752457,11.83352,3,18,1
20170508113505+01:00,eHA_Polio,9.75759307,11.83491344,BA,Itas/Gadau,5010,Abdallawa,BA1004,Garin Mari,,3658447,3fae01bc-c12c-4c1c-bc65-ea37aa1e55d1,RI Settlements existing in the GBD,Abdallawa Dispensary,9.752457,11.83352,6,39,1
,JSI RI,9.73684,11.81676833,BA,Itas/Gadau,5010,Abdallawa,BA1004,Jauro Janare,,,,collected by JSI,Abdallawa Dispensary,9.752457,11.83352,,,
20170508113505+01:00,eHA_Polio,9.79000049,11.8162951,BA,Itas/Gadau,5010,Abdallawa,BA1004,Ruwan Kawoni,,3875604,99e26359-4337-44cb-b66b-ad9a308bdf52,RI Settlements existing in the GBD,Abdallawa Dispensary,9.752457,11.83352,6,35,6
20170508113505+01:00,eHA_Polio,9.78680729,11.81522057,BA,Itas/Gadau,5010,Abdallawa,BA1004,Yafarfar,,3691563,67720d1f-7304-4ed5-a4fb-c2ee826ac5cb,RI Settlements existing in the GBD,Abdallawa Dispensary,9.752457,11.83352,5,33,5
20170508113506+01:00,eHA_Polio,9.74942572,11.83712035,BA,Itas/Gadau,5010,Abdallawa,BA1004,Yolel,,3708204,f9fe7553-8207-44b7-83c2-f52a0b676e3a,RI Settlements existing in the GBD,Abdallawa Dispensary,9.752457,11.83352,4,24,1
20171014171640+01:00,Bauchi RI,9.690708458,11.81201364,BA,Itas/Gadau,5010,Abdallawa,BA1004,Alkayawa,,3733130,54efd74e-3fe6-4e1b-aaf8-bc143aa7f51d,RI Settlements collected from the field,Gambara Health Post,9.690673,11.82812,2,13,3
20170508113504+01:00,eHA_Polio,9.69359319,11.82926409,BA,Itas/Gadau,5010,Abdallawa,BA1004,Gambaran Kwari ,,3842135,1ee85d24-d4d0-423e-af81-ef52ccce8201,RI Settlements existing in the GBD,Gambara Health Post,9.690673,11.82812,76,441,1
20170508113504+01:00,eHA_Polio,9.70777468,11.84337031,BA,Itas/Gadau,5010,Abdallawa,BA1004,Gambaran Tudu,,3674943,19a4b08e-1055-4907-bfad-215159417ab8,RI Settlements existing in the GBD,Gambara Health Post,9.690673,11.82812,12,73,3
20171014171640+01:00,Bauchi RI,9.710497,11.842746,BA,Itas/Gadau,5010,Abdallawa,BA1004,Gambaran Tudun  funini,,3749668,d5efa664-093e-494e-9214-6bb02086e37a,New Settlements collected based on JSI collected based on JSI,Gambara Health Post,9.690673,11.82812,,,
